# run,W0,D,L,Dp,delDp,phi,Dpcorr,eps,pamb,dpsErg,dpsK,Tmean,phase,phaseshift,TampL,timex,Nuf,Nus,Nuact
2.9000000e+01,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,6.5358671e+00,9.5933752e+00,2.8314258e+02,8.4434033e-02,1.2781515e-02,9.6551902e-01,7.8552730e-01,9.3726112e+00,9.2595437e+00,3.6960535e+01
3.0000000e+01,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,2.4549350e+01,3.7550936e+01,2.8318126e+02,8.4372589e-02,1.2956021e-02,2.7292025e+00,5.3687472e-01,1.9896242e+01,1.9765823e+01,5.6469792e+01
3.1000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,5.4040449e+01,8.3872682e+01,2.8311600e+02,8.2861517e-02,1.4411651e-02,4.6970096e+00,3.7016498e-01,3.1575123e+01,3.1467148e+01,7.3764587e+01
3.2000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,9.5009164e+01,1.4855861e+02,2.8320773e+02,8.4301347e-02,1.5139116e-02,6.7386043e+00,2.8687963e-01,3.5621083e+01,3.5528799e+01,8.9372568e+01
3.3000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,1.4745549e+02,2.3160873e+02,2.8316009e+02,8.3415304e-02,1.3830737e-02,8.7820339e+00,2.8577933e-01,4.6256393e+01,4.6205570e+01,1.0389113e+02
3.4000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5000000e-01,1.0132500e+05,2.1137944e+02,3.3302303e+02,2.8312243e+02,8.2838069e-02,1.3673711e-02,1.0745333e+01,2.8508937e-01,5.2498824e+01,5.2474922e+01,1.1764326e+02
3.5000000e+01,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,5.8265551e-01,7.5873233e-01,2.8313785e+02,8.3621842e-02,7.8094114e-03,1.6063701e-01,8.6505022e-01,3.0111365e+00,2.9666482e+00,1.9325923e+01
3.6000000e+01,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,4.2834762e+00,6.3330125e+00,2.8315067e+02,8.4431812e-02,1.2781227e-02,1.2433638e+00,7.8551041e-01,1.0635999e+01,1.0522712e+01,3.7884704e+01
3.7000000e+01,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,1.6173481e+01,2.4836471e+01,2.8310268e+02,8.2174727e-02,1.2932626e-02,3.2540461e+00,4.5248529e-01,1.8948178e+01,1.8802026e+01,5.8394384e+01
3.8000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,3.5670016e+01,5.5510377e+01,2.8320166e+02,8.4329296e-02,1.4411780e-02,5.4268568e+00,3.7016844e-01,2.8823544e+01,2.8698744e+01,7.6594076e+01
