# W0,eps,Dp,L,lamda,Tf0,V0,rhof0,cpf0,muf0,kf0,Rep,Pr,c0,c1,c2,r2
1.8000000e-02,4.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999814e+02,1.5358873e+00,1.1719610e+00,1.0096705e+03,1.8501665e-05,2.5834660e-02,1.9457708e+03,7.2308228e-01,2.7374991e-02,2.1101682e+00,9.3986400e-01,9.9931189e-01
1.0000000e-03,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9998984e+02,8.5324712e-02,1.1719934e+00,1.0096694e+03,1.8501268e-05,2.5834078e-02,1.0810070e+02,7.2308228e-01,-5.0264748e-04,1.5121459e-01,9.4409553e-01,3.5604327e-02
3.0000000e-03,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9997713e+02,2.5596329e-01,1.1720431e+00,1.0096678e+03,1.8500660e-05,2.5833187e-02,3.2431276e+02,7.2308228e-01,4.4665492e-03,8.5513882e+00,9.4283360e-01,9.7971006e-01
6.0000000e-03,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9996246e+02,5.1190154e-01,1.1721004e+00,1.0096659e+03,1.8499957e-05,2.5832157e-02,6.4865016e+02,7.2308228e-01,1.1820981e-02,4.2988951e+00,9.4232207e-01,9.9984405e-01
9.0000000e-03,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999934e+02,7.6794672e-01,1.1719563e+00,1.0096706e+03,1.8501723e-05,2.5834744e-02,9.7288238e+02,7.2308228e-01,1.6323870e-02,3.3817200e+00,9.4121749e-01,9.9986166e-01
1.2000000e-02,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999824e+02,1.0239252e+00,1.1719606e+00,1.0096705e+03,1.8501670e-05,2.5834667e-02,1.2971802e+03,7.2308228e-01,2.0741836e-02,2.7359793e+00,9.4043733e-01,9.9959793e-01
1.5000000e-02,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999723e+02,1.2799022e+00,1.1719646e+00,1.0096704e+03,1.8501621e-05,2.5834596e-02,1.6214795e+03,7.2308228e-01,2.5435364e-02,2.2330249e+00,9.4037511e-01,9.9929501e-01
1.8000000e-02,4.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999898e+02,1.5358916e+00,1.1719577e+00,1.0096706e+03,1.8501705e-05,2.5834719e-02,1.9457666e+03,7.2308228e-01,2.8177704e-02,1.9608018e+00,9.4017351e-01,9.9926102e-01
1.0000000e-03,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999027e+02,8.5324834e-02,1.1719917e+00,1.0096695e+03,1.8501288e-05,2.5834108e-02,1.0810058e+02,7.2308228e-01,1.9345726e-03,1.7552789e+01,9.4351323e-01,7.4558932e-01
3.0000000e-03,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9997603e+02,2.5596235e-01,1.1720474e+00,1.0096676e+03,1.8500607e-05,2.5833109e-02,3.2431369e+02,7.2308228e-01,4.6596429e-03,7.6998575e+00,9.4277092e-01,9.8592188e-01
6.0000000e-03,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999902e+02,5.1196393e-01,1.1719576e+00,1.0096706e+03,1.8501707e-05,2.5834722e-02,6.4858880e+02,7.2308228e-01,1.1062387e-02,4.2777637e+00,9.4188896e-01,9.9969993e-01
9.0000000e-03,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999929e+02,7.6794659e-01,1.1719565e+00,1.0096706e+03,1.8501720e-05,2.5834741e-02,9.7288251e+02,7.2308228e-01,1.7165507e-02,3.0929409e+00,9.4111760e-01,9.9971853e-01
1.2000000e-02,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999860e+02,1.0239264e+00,1.1719592e+00,1.0096705e+03,1.8501687e-05,2.5834693e-02,1.2971790e+03,7.2308228e-01,2.1763367e-02,2.5080836e+00,9.4040896e-01,9.9942232e-01
1.5000000e-02,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999622e+02,1.2798979e+00,1.1719685e+00,1.0096702e+03,1.8501573e-05,2.5834526e-02,1.6214837e+03,7.2308228e-01,2.6442031e-02,2.0620318e+00,9.4059567e-01,9.9922157e-01
1.8000000e-02,5.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999966e+02,1.5358951e+00,1.1719550e+00,1.0096707e+03,1.8501738e-05,2.5834767e-02,1.9457631e+03,7.2308228e-01,2.9089124e-02,1.8180567e+00,9.4064959e-01,9.9925819e-01
